monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.contentAssistMonitor,$error,false,e,"7602",1372991571575
org.zend.contentAssistMonitor,$errno,false,err,"1628",1372991576107
org.zend.contentAssistMonitor,echo,false,ec,"516",1372991583175
org.zend.contentAssistMonitor,$mysqli,false,$my,"1509",1372991599344
org.zend.contentAssistMonitor,$errno,false,e,"1172",1372991602406
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.text.contentAssist.proposals",1372991603765
org.zend.contentAssistMonitor,$error,false,err,"888",1372991604587
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372991605736
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372991609390
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372991616694
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.DebugLast",1372991619168
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372991622833
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372991624705
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372991626745
org.zend.viewsUsageMonitor,activated,org.eclipse.ui.console.ConsoleView,org.eclipse.debug.ui.DebugPerspective,"view",1372991628938
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1372991647803
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.DebugLast",1372991648507
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372991651632
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372991652041
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.StepOver",1372991652512
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.debug.ui.commands.Resume",1372991654362
